traduccion,unidad,tipo_palabra,hiragana,katakana,kanji
le apetese esto,7,frases,[...は]いかがですか,*,*
lo recibo agradecidamente,7,frases,いただきます,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
grande,8,adjetivos,おおきい,*,大きい
pequeño,8,adjetivos,ちいさい,*,*
bueno,8,adjetivos,いい/よい,*,*
malo,8,adjetivos,わるい,*,*
nuevo,8,adjetivos,あたらしい,*,*
viejo,8,adjetivos,ふるい,*,*
caluroso,8,adjetivos,あつい,*,*
frio al tacto,8,adjetivos,つめたい,*,*
frio al clima,8,adjetivos,さむい,*,*
facil/amable,8,adjetivos,やさしい,*,*
dificil,8,adjetivos,むずかしい,*,*
alto/caro,8,adjetivos,たかい,*,*
bajo,8,adjetivos,ひくい,*,*
barato,8,adjetivos,やすい,*,*
interesante,8,adjetivos,おもしろい,*,*
delicioso,8,adjetivos,おいしい,*,*
divertido,8,adjetivos,たのしい,*,*
atareado,8,adjetivos,いそがしい,*,*
guapo,8,adjetivos,はんさむ,ハンサム,*
saludable,8,adjetivos,ばんき,*,*
refinado,8,adjetivos,すてき,*,*
tranquilo,8,adjetivos,しずか,*,*
concurrido,8,adjetivos,にぎゃか,*,*
amable,8,adjetivos,しんせつ,*,*
conveniente,8,adjetivos,べんり,*,*
con tiempo libre,8,adjetivos,ひま,*,*
limpio/lindo,8,adjetivos,きれい(な),*,*
famoso,8,adjetivos,ゆうめい(な),*,*
blanco,8,colores,しろ(い),*,*
negro,8,colores,くろ(い),*,*
rojo,8,colores,あか(い),*,*
azul,8,colores,あお(い),*,*
amarillo,8,colores,きいろ(い),*,*
marron,8,colores,ちゃいろ(い),*,*
verde,8,colores,みどり,*,*
violeta,8,colores,むらさき,*,*
rosa,8,colores,ぴんく,ピンク,*
gris,8,colores,ぐれ-,グレ-,*
naranja,8,colores,おれんじ,オレンジ,*
y,8,extras,そして,*,*
pero,8,extras,...が...,*,*
cómo es,8,pregunta,どう,*,*
qué clase de,8,pregunta,どんな,*,*
cual es,8,pregunta,どれ,*,*
muy,8,adverbios,とても,*,*
no tan,8,adverbios,あまり,*,*
flor de cerezo,8,sustantivo,さくら,*,*
montaña,8,sustantivo,やま,*,山
ciudad,8,sustantivo,まち,*,*
comida,8,sustantivo,たべもの,*,*
auto,8,sustantivo,くるま,*,*
residencia,8,sustantivo,りょう,*,*
lugar,8,sustantivo,ところ,*,*
estudio,8,sustantivo,べんきょう,*,*
vida diaria,8,sustantivo,せんかつ,*,*
trabajo,8,sustantivo,しごと,*,*
usted como esta,8,frases,おげんきですか,*,*
bueno dejame pensar,8,frases,そうですね,*,*
le apetece una taza de,8,frases,[...]もう　いっぱい　いかがですか,*,*
no estoy satisfecho,8,frases,いいえ　けんこです,*,*
es hora de marcharnos,8,frases,そろそろ　しっねいします,*,*
vuelvan a visitarnos,8,frases,また　いらっしゃって　ください,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
entender,9,verbos,わかります,*,*
tener objetos,9,verbos,あります,*,*
tener ser vivo,9,verbos,います,*,*
gustar,9,adjetivos,すき(な),*,*
no gustar,9,adjetivos,きらい(な),*,*
ser habil,9,adjetivos,じょうぞ(な),*,*
ser malo,9,adjetivos,へた(な),*,*
cocina,9,sustantivo,りょうり,*,*
bebida,9,sustantivo,のみもの,*,*
tiempo,9,sustantivo,じかん,*,*
algo que hacer,9,sustantivo,ようじ,*,*
compromiso,9,sustantivo,やくそく,*,*
deporte,9,sustantivo,すぽ-つ,スポ-ツ,*
danza,9,sustantivo,だんす,ダンス,*
cancion,9,sustantivo,うた,*,*
musica clasica,9,sustantivo,くらしっく,クラシック,*
jazz,9,sustantivo,じゃず,ジャズ,*
concierto,9,sustantivo,こんさ-と,コンサ-ト,*
karaoke,9,sustantivo,からおけ,カラオケ,*
teatro orquestral,9,sustantivo,かぶき,*,*
pintura,9,sustantivo,え,*,*
letra,9,sustantivo,じ,*,*
letra china,9,sustantivo,かんじ,*,*
hiragana,9,sustantivo,ひらがな,*,*
katakana,9,sustantivo,かたかな,カタカナ,*
romaji,9,sustantivo,ろ-まじ,ロ-マジ,*
cambio,9,sustantivo,こまかい　おかね,*,*
ticket,9,sustantivo,ちけっと,チケット,*
su marido,9,sustantivo,ごしゅじん,*,*
mi marido,9,sustantivo,しゅじん,*,*
tu señora,9,sustantivo,おくさん,*,*
mi esposa,9,sustantivo,かない,*,*
niño,9,sustantivo,こども,*,子ども
mucho,9,adverbios,よく,*,*
mas o menos,9,adverbios,だいたい,*,*
bastante,9,adverbios,たくさん,*,*
un poco,9,adverbios,すこし,*,*
nada,9,adverbios,ぜんぜん,*,*
rapido,9,adverbios,はやく,*,*
Por qué,9,pregunta,どうして,*,*
porque,9,extras,...から,*,*
es una lastima,9,frases,ざんえんです,*,*
perdon,9,frases,すみません,*,*
hola(telefono),9,frases,もしもし,*,*
ah,9,frases,ああ,*,*
queres acompañarnos,9,frases,いっしょに　いかがですか,*,*
es un poco,9,frases,[..は]ちょっと...,*,*
asi que no puedes acompañarnos,9,frases,だめですか,*,*
por favor vuelva a invitarme la proxima,9,frases,また　こんど　おねがいします,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
estar/haber objetos,10,verbos,あります,*,*
estar/haber ser vivo,10,verbos,います,*,*
hombre,10,sustantivo,おとこのひと,*,男の人
mujer,10,sustantivo,おんなのひと,*,女の人
pequeño niño,10,sustantivo,おとこのこ,*,男の子
pequeña niña,10,sustantivo,おんなのこ,*,女の子
perro,10,sustantivo,いぬ,*,*
gato,10,sustantivo,ねこ,*,*
arbol,10,sustantivo,き,*,木
mesa,10,sustantivo,て-べる,テ-ベル,*
cama,10,sustantivo,べっど,ベッド,*
estante,10,sustantivo,たな,*,*
puerta,10,sustantivo,どあ,ドア-,*
ventana,10,sustantivo,まど,*,*
objeto,10,sustantivo,もの,*,*
pelicula de foto,10,sustantivo,ふぃるむ,フィルム,*
bateria,10,sustantivo,でんち,*,*
buzón,10,sustantivo,ぼすと,ボスト,*
edificio,10,sustantivo,びる,ビル,*
parque,10,sustantivo,こうえん,*,*
cafeteria,10,sustantivo,きっさてん,*,*
libreria,10,sustantivo,ほんや,*,*
prefectura,10,sustantivo,けん,*,*
caja,10,sustantivo,はこ,*,*
interruptor,10,sustantivo,すいっち,スイッチ,*
refrigerador,10,sustantivo,れいぞうこ,*,*
arriba,10,posiciones,うえ,*,上
abajo,10,posiciones,した,*,下
adelante,10,posiciones,まえ,*,前
atras,10,posiciones,うしろ,*,後しろ
izquierda,10,posiciones,ひだり,*,左
derecha,10,posiciones,みぎ,*,右
adentro,10,posiciones,なか,*,中
afuera,10,posiciones,そと,*,外
al lado,10,posiciones,となり,*,*
cerca,10,posiciones,ちかく,*,*
entre,10,posiciones,あいだ,*,*
etcetera,10,adverbios,など,*,*
el mas,10,adverbios,いちばん,*,*
